order_id,company_name,distance_km,delivery_time_hrs,weather,traffic_level,payment_type,past_failures,agent_rating,delivery_status
10001,Shadowfax,48,9,Rain,Low,COD,2,3.0,1
10002,Blue Dart,47,4,Clear,Medium,COD,4,4.2,1
10003,XpressBees,53,3,Clear,Low,COD,1,3.0,0
10004,DTDC,20,1,Clear,High,Prepaid,4,4.2,1
10005,Shadowfax,78,7,Clear,Medium,Prepaid,2,3.7,0
10006,FedEx India,22,6,Clear,High,Prepaid,1,3.5,1
10007,Delhivery,65,10,Clear,High,COD,2,3.3,1
10008,Shadowfax,38,4,Clear,Medium,COD,0,4.9,0
10009,XpressBees,28,6,Clear,Medium,Prepaid,2,3.8,0
10010,DTDC,56,6,Storm,Medium,Prepaid,4,3.9,1
10011,Blue Dart,30,4,Clear,Medium,Prepaid,0,4.9,0
10012,XpressBees,21,6,Clear,Medium,COD,0,4.1,0
10013,XpressBees,26,10,Clear,High,Prepaid,3,4.9,1
10014,Delhivery,71,11,Storm,Medium,Prepaid,4,2.8,1
10015,Ecom Express,64,8,Rain,Low,Prepaid,4,4.6,1
10016,DTDC,37,3,Clear,Medium,Prepaid,1,3.3,0
10017,Flipkart,3,4,Rain,Medium,COD,2,4.5,1
10018,XpressBees,23,10,Rain,Low,COD,2,4.6,0
10019,Ecom Express,17,1,Rain,Medium,COD,4,3.2,1
10020,Flipkart,19,4,Rain,Medium,COD,2,3.5,0
10021,DTDC,70,11,Storm,Medium,Prepaid,4,4.3,1
10022,Amazon Logistics,55,10,Storm,Medium,Prepaid,0,2.7,0
10023,FedEx India,31,10,Rain,Medium,Prepaid,2,4.4,0
10024,Ecom Express,46,9,Clear,High,COD,2,2.8,1
10025,Ekart,20,8,Rain,High,Prepaid,4,4.8,0
10026,Amazon Logistics,35,11,Rain,Medium,COD,4,3.2,1
10027,FedEx India,14,4,Clear,Low,Prepaid,1,3.9,0
10028,Delhivery,44,7,Storm,High,Prepaid,2,2.8,0
10029,Shadowfax,63,10,Clear,Medium,COD,3,3.2,1
10030,Blue Dart,23,3,Clear,Low,COD,4,3.5,0
10031,Ekart,53,9,Storm,Low,Prepaid,3,3.7,1
10032,Delhivery,53,10,Clear,Low,Prepaid,0,2.5,1
10033,DTDC,37,4,Clear,Low,COD,0,4.7,1
10034,Delhivery,74,2,Clear,Low,COD,3,2.5,0
10035,Shadowfax,20,10,Clear,High,Prepaid,0,4.4,1
10036,DTDC,39,5,Clear,Medium,Prepaid,3,3.7,1
10037,Ekart,71,2,Clear,Medium,Prepaid,1,3.8,1
10038,Shadowfax,58,10,Clear,High,Prepaid,1,3.0,0
10039,Flipkart,21,6,Storm,High,COD,0,4.0,0
10040,Blue Dart,10,11,Storm,High,Prepaid,3,3.8,0
10041,Ekart,33,10,Clear,High,Prepaid,3,2.9,0
10042,Flipkart,5,1,Rain,Medium,Prepaid,3,3.1,0
10043,FedEx India,51,6,Clear,High,Prepaid,0,2.7,0
10044,Ekart,6,4,Clear,Medium,Prepaid,3,2.7,1
10045,FedEx India,21,3,Clear,Low,Prepaid,4,2.5,0
10046,DTDC,76,2,Storm,Medium,Prepaid,3,3.1,1
10047,Flipkart,38,7,Storm,Medium,Prepaid,4,4.2,1
10048,Blue Dart,23,9,Clear,High,Prepaid,1,3.3,0
10049,Shadowfax,59,3,Clear,Medium,Prepaid,4,3.4,1
10050,XpressBees,69,6,Clear,Medium,COD,1,2.8,1
10051,Delhivery,45,9,Clear,Low,Prepaid,0,3.9,1
10052,Amazon Logistics,35,2,Rain,Low,Prepaid,1,3.4,0
10053,Blue Dart,78,7,Clear,Low,Prepaid,1,4.2,1
10054,Flipkart,43,5,Rain,Medium,COD,3,4.4,1
10055,XpressBees,10,5,Clear,High,COD,2,4.0,1
10056,Blue Dart,8,11,Storm,Low,Prepaid,1,3.2,0
10057,Flipkart,69,7,Rain,Medium,COD,4,3.8,0
10058,Ecom Express,20,9,Clear,Low,Prepaid,0,3.1,1
10059,Ecom Express,32,4,Rain,Low,Prepaid,4,4.8,0
10060,FedEx India,36,9,Rain,Medium,Prepaid,0,4.4,1
10061,Blue Dart,58,11,Clear,Low,Prepaid,4,3.7,0
10062,Ecom Express,62,10,Clear,Medium,Prepaid,1,4.9,0
10063,Flipkart,32,9,Storm,Low,COD,2,3.9,1
10064,FedEx India,54,4,Clear,Low,COD,1,3.3,0
10065,Flipkart,33,3,Clear,Medium,Prepaid,3,2.7,1
10066,FedEx India,67,2,Clear,Medium,Prepaid,4,3.9,1
10067,Blue Dart,60,9,Rain,Low,Prepaid,2,4.7,0
10068,XpressBees,11,2,Rain,Medium,Prepaid,4,4.7,0
10069,Shadowfax,3,6,Storm,High,COD,3,4.0,1
10070,Ekart,67,5,Clear,Medium,COD,3,3.5,1
10071,XpressBees,61,5,Clear,Low,COD,3,4.1,1
10072,DTDC,18,4,Rain,Medium,COD,1,4.4,0
10073,Flipkart,17,6,Rain,Medium,Prepaid,1,3.5,1
10074,DTDC,17,5,Clear,Low,Prepaid,2,3.7,0
10075,XpressBees,47,11,Clear,High,Prepaid,3,4.2,1
10076,FedEx India,40,4,Clear,High,Prepaid,1,4.7,0
10077,Ekart,32,9,Rain,High,COD,0,4.5,0
10078,Ekart,2,6,Storm,High,Prepaid,0,2.6,1
10079,Amazon Logistics,12,11,Rain,Medium,Prepaid,1,2.8,0
10080,Ekart,5,10,Storm,Medium,COD,2,4.6,1
10081,Shadowfax,72,10,Clear,Medium,COD,4,4.6,0
10082,Ekart,27,10,Storm,High,Prepaid,3,3.5,1
10083,XpressBees,51,3,Rain,Medium,COD,1,4.0,0
10084,Amazon Logistics,13,10,Clear,Low,Prepaid,2,4.8,0
10085,XpressBees,76,6,Storm,Medium,Prepaid,4,4.8,0
10086,XpressBees,66,1,Clear,High,Prepaid,2,4.5,0
10087,Delhivery,48,5,Storm,Low,Prepaid,4,3.0,1
